Age group by 5,Category,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Almont Money,Customers by Season,Money by Accessories,Money by Clothing,Money by Footwear,Money by Outerwear,Previous Purchases,Purchase Amount (USD),Review Rating
55-60,Clothing,Gray,1,Yes,Fortnightly,Male,Blouse,Kentucky,Venmo,Yes,Winter,Express,L,Yes,55,,,,,,,14,53,3.1
15-20,Clothing,Maroon,2,Yes,Fortnightly,Male,Sweater,Maine,Cash,Yes,Winter,Express,L,Yes,19,,,,,,,2,64,3.1
50-55,Clothing,Maroon,3,Yes,Weekly,Male,Jeans,Massachusetts,Credit Card,Yes,Spring,Free Shipping,S,Yes,50,,,,,,,23,73,3.1
20-25,Footwear,Maroon,4,Yes,Weekly,Male,Sandals,Rhode Island,PayPal,Yes,Spring,Next Day Air,M,Yes,21,,,,,,,49,90,3.5
45-50,Clothing,Turquoise,5,Yes,Annually,Male,Blouse,Oregon,PayPal,Yes,Spring,Free Shipping,M,Yes,45,,,,,,,31,49,2.7
45-50,Footwear,White,6,Yes,Weekly,Male,Sneakers,Wyoming,Venmo,Yes,Summer,Standard,M,Yes,46,,,,,,,14,20,2.9
60-65,Clothing,Gray,7,Yes,Quarterly,Male,Shirt,Montana,Cash,Yes,Fall,Free Shipping,M,Yes,63,85,7,,85,,,49,85,3.2
25-30,Clothing,Charcoal,8,Yes,Weekly,Male,Shorts,Louisiana,Credit Card,Yes,Winter,Free Shipping,L,Yes,27,,,,,,,19,34,3.2
25-30,Outerwear,Silver,9,Yes,Annually,Male,Coat,West Virginia,Venmo,Yes,Summer,Express,L,Yes,26,,,,,,,8,97,2.6
55-60,Accessories,Pink,10,Yes,Quarterly,Male,Handbag,Missouri,Cash,Yes,Spring,2-Day Shipping,M,Yes,57,,,,,,,4,31,4.8
50-55,Footwear,Purple,11,Yes,Bi-Weekly,Male,Shoes,Arkansas,Bank Transfer,Yes,Fall,Store Pickup,L,Yes,53,34,11,,,34,,26,34,4.1
30-35,Clothing,Olive,12,Yes,Fortnightly,Male,Shorts,Hawaii,Bank Transfer,Yes,Winter,Store Pickup,S,Yes,30,,,,,,,10,68,4.9
60-65,Outerwear,Gold,13,Yes,Fortnightly,Male,Coat,Delaware,Venmo,Yes,Winter,Express,M,Yes,61,,,,,,,37,72,4.5
65-70,Clothing,Violet,14,Yes,Weekly,Male,Dress,New Hampshire,PayPal,Yes,Spring,Express,M,Yes,65,,,,,,,31,51,4.7
60-65,Outerwear,Teal,15,Yes,Weekly,Male,Coat,New York,Debit Card,Yes,Winter,Free Shipping,L,Yes,64,,,,,,,34,53,4.7
60-65,Clothing,Teal,16,Yes,Monthly,Male,Skirt,Rhode Island,PayPal,Yes,Winter,Store Pickup,M,Yes,64,,,,,,,8,81,2.8
25-30,Accessories,Gray,17,Yes,Bi-Weekly,Male,Sunglasses,Alabama,Debit Card,Yes,Spring,Next Day Air,S,Yes,25,,,,,,,44,36,4.1
50-55,Clothing,Lavender,18,Yes,Quarterly,Male,Dress,Mississippi,Venmo,Yes,Winter,2-Day Shipping,XL,Yes,53,,,,,,,36,38,4.7
50-55,Clothing,Black,19,Yes,Weekly,Male,Sweater,Montana,Cash,Yes,Summer,Free Shipping,S,Yes,52,,,,,,,17,48,4.6
65-70,Clothing,Green,20,Yes,Bi-Weekly,Male,Pants,Rhode Island,Debit Card,Yes,Summer,Standard,M,Yes,66,,,,,,,46,90,3.3
20-25,Clothing,Black,21,Yes,Every 3 Months,Male,Pants,Louisiana,Cash,Yes,Winter,Express,M,Yes,21,,,,,,,50,51,2.8
30-35,Clothing,Charcoal,22,Yes,Quarterly,Male,Pants,North Carolina,Debit Card,Yes,Winter,Store Pickup,M,Yes,31,,,,,,,22,62,4.1
55-60,Clothing,Peach,23,Yes,Annually,Male,Pants,California,Debit Card,Yes,Summer,Store Pickup,M,Yes,56,,,,,,,32,37,3.2
30-35,Clothing,White,24,Yes,Weekly,Male,Pants,Oklahoma,Credit Card,Yes,Winter,Express,XL,Yes,31,,,,,,,40,88,4.4
15-20,Outerwear,Green,25,Yes,Weekly,Male,Jacket,Florida,Debit Card,Yes,Fall,Store Pickup,M,Yes,18,22,25,,,,22,16,22,2.9
